commit	metric	value	status	description
BASELIN	cavity_50_iters	26	keep	baseline - first order upwind, Jacobi preconditioner, SIMPLE
EXP001	cavity_50_iters	26	discard	ILU(0) preconditioner - same iters but 16% slower due to setup cost
EXP002	cavity_100_time_ms	949	keep	pre-compute face D and F coefficients outside comp loop - 3.7% faster
EXP004	total_benchmark_ms	1157	keep	counting sort COO-to-CSR + insertion sort per row - 5.5% faster total
EXP005	cavity_100_time_ms	778	keep	unsafe unchecked SpMV inner loop - 13.7% faster on cavity_100
EXP006	cavity_100_time_ms	776	keep	4-way unrolled dot product in CG and BiCGSTAB - marginal 0.3%
EXP007	cavity_20_iters	500	discard	Rhie-Chow face velocity interpolation - destabilized convergence completely
EXP007	cavity_20_iters	500	discard	Rhie-Chow face velocity - destabilized convergence
EXP008	cavity_100_time_ms	838	discard	p-prime warm start initial guess - 33% slower
EXP009	total_benchmark_ms	855	keep	precise NNZ estimate for Assembler COO - marginal, cleaner code
EXP010	total_benchmark_ms	888	keep	fused CG update loop (x,r,rTr in one pass) + unsafe - marginal
EXP011	total_benchmark_ms	630	keep	cache face_patch_map (Vec vs HashMap) + pressure correction direct assembler (no Vec<Vec<>>) - 30% faster
EXP012	total_benchmark_ms	578	keep	fuse BiCGSTAB vector loops (t·s+t·t, x+r update) + unsafe access - 8% faster
EXP013	total_benchmark_ms	615	keep	reuse a_p/sources vectors + inline p_prime gradient - marginal
EXP014	total_benchmark_ms	395	keep	relax inner linear solver tolerance 1e-6 to 1e-3 - 36% faster, same outer iters
EXP015	heat_source_error	2.57e-13	keep	second-order boundary correction for thermal source - 1.25e-3 to 2.57e-13 (10 orders of magnitude!)
EXP016	total_benchmark_ms	365	keep	build momentum matrix once, reuse for 3 components - 8% faster (saves 2 COO->CSR per iter)
EXP017	total_benchmark_ms	322	keep	Green-Gauss gradient precompute phi_f*area + unroll dim loop - 12% faster
EXP018	total_benchmark_ms	322	keep	simplify velocity correction (cancel V/V) + residual face loop - marginal, cleaner code
EXP019	total_benchmark_ms	365	discard	SpMV 4-way unrolling - SLOWER (row nnz=5-7 too short for unrolling benefit)
EXP020	total_benchmark_ms	350	keep	skip trivial z-momentum component for 2D cases - 3% faster
EXP021	total_benchmark_ms	348	keep	avoid SparseMatrix clone in momentum solve - marginal
EXP022	total_benchmark_ms	348	keep	reuse x_buf and BiCGSTAB solver across components - marginal
EXP023	total_benchmark_ms	347	keep	cache face geometry across SIMPLE iterations - marginal
EXP024	cavity_20_iters	37	keep	relax momentum BiCGSTAB tol to 1e-2 - cavity_20: 40->37, cavity_50: 26->25
EXP025	total_benchmark_ms	306	keep	BiCGSTAB workspace vector reuse - 12% faster (eliminates ~250 allocations)
EXP026	total_benchmark_ms	335	discard	CG workspace reuse - no improvement (CG recreated each call anyway)
EXP027	total_benchmark_ms	301	keep	call CG directly for pressure correction - 10% faster
EXP028	total_benchmark_ms	690	keep	CG workspace reuse via cached solver in SimpleSolver - structural improvement
EXP029	total_benchmark_ms	600	keep	cache pressure correction CSR pattern - 13% faster (eliminates COO->CSR per iter)
EXP030	total_benchmark_ms	560	keep	cache momentum matrix CSR pattern - 7% faster (reuse pc_ indices)
EXP031	total_benchmark_ms	560	keep	eliminate all matrix clones via in-place value updates - marginal, cleaner code
EXP032	total_benchmark_ms	560	keep	cache cell volumes in flat array - marginal
EXP033	total_benchmark_ms	260	keep	cache face normal*area products for all face loops - 13% faster (better cache locality)
